case_id,transaction_id,customer_id,event_type,leakage_category,amount,amount_at_risk,timestamp,payment_method,payment_status,failure_reason,checkout_started,checkout_completed,subscription_status,mandate_status,invoice_status,invoice_due_date,days_overdue,retry_count,previous_attempt_count,customer_purchase_count,customer_success_rate,customer_lifetime_value,previous_payment_behavior,customer_opt_out,suspicious_flag,communication_allowed,historical_recovery_behavior,ground_truth_recoverable,ground_truth_recovery_outcome,amount_recovered,recovery_observed,recovery_reason,split
CASE00019,TXN000019,CUST00096,checkout_abandoned,checkout_abandonment,3015.39,3015.39,2026-05-30 19:00:00,UPI,abandoned,,True,False,,,,,,0,0,31,0.975,17210.29,reliable,False,False,True,usually_recovers_via_retry,True,recovered,3015.39,True,paid_after_reminder_or_link,train
CASE00020,TXN000020,CUST00215,payment_success,successful,681.74,0.0,2026-07-02 14:00:00,Card,success,,True,True,,,,,,0,0,22,0.836,43926.17,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00021,TXN000021,CUST00394,payment_success,successful,3937.41,0.0,2026-08-15 21:00:00,UPI,success,,True,True,,,,,,0,0,21,0.889,26266.95,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00022,TXN000022,CUST00225,payment_failed,failed_payment,9413.77,9413.77,2026-07-30 14:00:00,UPI,failed,UPI timeout,True,True,,,,,,0,1,6,0.796,5639.92,occasional_failure,False,False,True,usually_needs_reminder,True,recovered,9413.77,True,retry_succeeded,validation
CASE00023,TXN000023,CUST00023,invoice_overdue,overdue_receivable,2747.53,2747.53,2026-08-20 00:00:00,UPI,overdue,,,,,,overdue,2026-08-15,5.0,0,0,10,0.181,6316.7,frequent_failure,False,False,True,rarely_recovers,True,recovered,2531.75,True,paid_after_reminder_or_link,train
CASE00024,TXN000024,CUST00017,payment_failed,failed_payment,1038.18,1038.18,2026-08-17 20:00:00,Netbanking,failed,bank decline,True,True,,,,,,0,1,22,0.86,16663.68,reliable,False,False,True,usually_recovers_via_retry,True,recovered,1038.18,True,retry_succeeded,train
CASE00025,TXN000025,CUST00101,payment_success,successful,554.64,0.0,2026-07-19 10:00:00,Wallet,success,,True,True,,,,,,0,0,9,0.489,4338.21,frequent_failure,False,False,True,rarely_recovers,False,not_applicable,0.0,False,not_applicable,test
CASE00026,TXN000026,CUST00381,payment_success,successful,1017.09,0.0,2026-07-09 14:00:00,Netbanking,success,,True,True,,,,,,0,0,18,0.622,32066.97,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00027,TXN000027,CUST00285,payment_success,successful,2251.87,0.0,2026-05-23 09:00:00,Wallet,success,,True,True,,,,,,0,0,16,0.803,53734.55,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00028,TXN000028,CUST00252,payment_success,successful,2320.77,0.0,2026-08-11 03:00:00,Card,success,,True,True,,,,,,0,0,27,0.88,125480.63,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,validation
CASE00029,TXN000029,CUST00141,payment_success,successful,787.53,0.0,2026-06-16 14:00:00,UPI,success,,True,True,,,,,,0,0,3,0.844,10728.11,occasional_failure,False,False,True,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,train
CASE00030,TXN000030,CUST00420,invoice_overdue,overdue_receivable,2628.95,2628.95,2026-08-20 00:00:00,UPI,overdue,,,,,,overdue,2026-08-19,1.0,0,0,9,0.216,6342.52,frequent_failure,False,False,True,rarely_recovers,False,not_recovered,0.0,True,no_recovery_within_window,train
CASE00031,TXN000031,CUST00146,payment_failed,failed_payment,3463.0,3463.0,2026-08-14 00:00:00,UPI,failed,UPI timeout,True,True,,,,,,1,2,8,0.76,8703.67,occasional_failure,False,False,True,usually_needs_reminder,True,recovered,3463.0,True,retry_succeeded,train
CASE00032,TXN000032,CUST00379,payment_success,successful,1302.97,0.0,2026-06-12 15:00:00,Netbanking,success,,True,True,,,,,,0,0,5,0.839,7507.27,occasional_failure,False,False,True,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,train
CASE00033,TXN000033,CUST00403,payment_success,successful,3732.43,0.0,2026-06-10 12:00:00,Netbanking,success,,True,True,,,,,,0,0,18,0.916,40843.38,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00034,TXN000034,CUST00216,invoice_overdue,overdue_receivable,9444.48,9444.48,2026-08-20 00:00:00,UPI,overdue,,,,,,overdue,2026-07-26,25.0,0,3,15,0.935,15546.34,reliable,False,False,True,usually_recovers_via_retry,True,recovered,7434.85,True,paid_after_reminder_or_link,train
CASE00035,TXN000035,CUST00403,subscription_renewal_failed,failed_subscription,405.48,405.48,2026-06-07 20:00:00,Netbanking,failed_recurring,network failure,,,failed,active_pending_retry,,,,0,0,18,0.916,40843.38,reliable,False,False,True,usually_recovers_via_retry,True,recovered,405.48,True,retry_succeeded,train
CASE00036,TXN000036,CUST00121,payment_success,successful,665.4,0.0,2026-08-13 08:00:00,Netbanking,success,,True,True,,,,,,0,0,22,0.919,17484.45,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00037,TXN000037,CUST00301,subscription_renewal_failed,failed_subscription,228.59,228.59,2026-08-16 02:00:00,UPI,failed_recurring,UPI timeout,,,failed,active_pending_retry,,,,0,1,21,0.924,56181.23,reliable,False,False,True,usually_recovers_via_retry,True,recovered,228.59,True,retry_succeeded,validation
CASE00038,TXN000038,CUST00039,payment_failed,failed_payment,2179.61,2179.61,2026-05-23 19:00:00,Card,failed,authentication failure,True,True,,,,,,0,1,0,0.084,1792.55,new,False,False,True,new_customer,True,recovered,2179.61,True,retry_succeeded,train
CASE00039,TXN000039,CUST00213,payment_failed,failed_payment,451.81,451.81,2026-07-27 15:00:00,UPI,failed,insufficient funds,True,True,,,,,,0,0,1,0.314,1453.27,new,False,False,True,new_customer,False,not_recovered,0.0,True,no_recovery_within_window,validation
CASE00040,TXN000040,CUST00096,invoice_overdue,overdue_receivable,1308.28,1308.28,2026-08-20 00:00:00,Card,overdue,,,,,,overdue,2026-07-20,31.0,0,0,31,0.975,17210.29,reliable,False,False,True,usually_recovers_via_retry,False,not_recovered,0.0,True,no_recovery_within_window,train
CASE00041,TXN000041,CUST00025,payment_success,successful,1365.57,0.0,2026-06-28 07:00:00,UPI,success,,True,True,,,,,,0,0,20,0.933,19585.24,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00042,TXN000042,CUST00002,subscription_renewal_failed,failed_subscription,416.96,416.96,2026-06-02 09:00:00,Wallet,failed_recurring,insufficient funds,,,failed,failed,,,,2,3,5,0.69,7848.41,occasional_failure,False,False,True,usually_needs_reminder,False,not_recovered,0.0,True,no_recovery_within_window,train
CASE00043,TXN000043,CUST00144,invoice_overdue,overdue_receivable,20766.36,20766.36,2026-08-20 00:00:00,Netbanking,overdue,,,,,,overdue,2026-07-23,28.0,0,0,19,0.922,18375.78,reliable,False,False,True,usually_recovers_via_retry,True,recovered,14472.54,True,paid_after_reminder_or_link,train
CASE00044,TXN000044,CUST00265,payment_failed,failed_payment,1339.28,1339.28,2026-06-30 16:00:00,Wallet,failed,insufficient funds,True,True,,,,,,2,3,4,0.368,9084.25,frequent_failure,False,False,True,rarely_recovers,False,not_recovered,0.0,True,no_recovery_within_window,train
CASE00045,TXN000045,CUST00203,payment_failed,failed_payment,846.2,846.2,2026-07-09 03:00:00,UPI,failed,bank decline,True,True,,,,,,0,2,6,0.921,14310.06,occasional_failure,False,False,True,usually_needs_reminder,True,recovered,846.2,True,retry_succeeded,train
CASE00046,TXN000046,CUST00133,payment_success,successful,1909.95,0.0,2026-07-28 18:00:00,UPI,success,,True,True,,,,,,0,0,26,0.931,49183.94,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00047,TXN000047,CUST00447,checkout_abandoned,checkout_abandonment,4507.5,4507.5,2026-07-18 09:00:00,Card,abandoned,,True,False,,,,,,0,1,7,0.19,9397.68,frequent_failure,False,False,True,rarely_recovers,False,not_recovered,0.0,True,no_recovery_within_window,train
CASE00048,TXN000048,CUST00425,subscription_renewal_failed,failed_subscription,516.64,516.64,2026-07-13 21:00:00,UPI,failed_recurring,network failure,,,failed,failed,,,,0,0,17,0.793,38369.13,reliable,False,False,True,usually_recovers_via_retry,True,recovered,516.64,True,retry_succeeded,train
CASE00049,TXN000049,CUST00055,payment_success,successful,1671.5,0.0,2026-07-09 05:00:00,Card,success,,True,True,,,,,,0,0,20,0.86,40281.85,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,validation
CASE00050,TXN000050,CUST00185,payment_success,successful,756.96,0.0,2026-06-02 21:00:00,Card,success,,True,True,,,,,,0,0,15,0.805,58856.57,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00051,TXN000051,CUST00299,payment_success,successful,1244.12,0.0,2026-08-06 20:00:00,UPI,success,,True,True,,,,,,0,0,20,0.827,53733.0,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00052,TXN000052,CUST00336,checkout_abandoned,checkout_abandonment,893.0,893.0,2026-07-09 09:00:00,Wallet,abandoned,,True,False,,,,,,0,0,12,0.967,47171.26,reliable,False,False,True,usually_recovers_via_retry,True,recovered,893.0,True,paid_after_reminder_or_link,train
CASE00053,TXN000053,CUST00162,payment_success,successful,2260.56,0.0,2026-07-07 02:00:00,Netbanking,success,,True,True,,,,,,0,0,6,0.434,8914.71,frequent_failure,False,False,True,rarely_recovers,False,not_applicable,0.0,False,not_applicable,train
CASE00054,TXN000054,CUST00342,checkout_abandoned,checkout_abandonment,2726.46,2726.46,2026-07-22 20:00:00,UPI,abandoned,,True,False,,,,,,0,2,5,0.456,5934.37,frequent_failure,False,False,True,rarely_recovers,True,recovered,2726.46,True,paid_after_reminder_or_link,train
CASE00055,TXN000055,CUST00055,payment_success,successful,1440.21,0.0,2026-07-27 23:00:00,Card,success,,True,True,,,,,,0,0,20,0.86,40281.85,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,validation
CASE00056,TXN000056,CUST00147,payment_success,successful,2177.48,0.0,2026-08-08 13:00:00,UPI,success,,True,True,,,,,,0,0,8,0.819,11250.41,occasional_failure,False,False,True,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,train
CASE00057,TXN000057,CUST00329,payment_success,successful,2693.13,0.0,2026-07-22 22:00:00,UPI,success,,True,True,,,,,,0,0,24,0.824,53222.62,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,test
CASE00058,TXN000058,CUST00288,subscription_renewal_failed,failed_subscription,379.43,379.43,2026-06-02 04:00:00,Card,failed_recurring,insufficient funds,,,failed,failed,,,,1,4,2,0.733,6937.21,occasional_failure,False,False,True,usually_needs_reminder,True,recovered,379.43,True,retry_succeeded,train
CASE00059,TXN000059,CUST00380,payment_success,successful,5836.51,0.0,2026-08-19 08:00:00,Card,success,,True,True,,,,,,0,0,16,0.846,39062.25,reliable,False,True,False,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00060,TXN000060,CUST00020,checkout_abandoned,checkout_abandonment,1176.81,1176.81,2026-05-28 13:00:00,UPI,abandoned,,True,False,,,,,,0,0,20,0.551,41564.41,reliable,False,False,True,usually_recovers_via_retry,True,recovered,1176.81,True,paid_after_reminder_or_link,test
CASE00061,TXN000061,CUST00076,checkout_abandoned,checkout_abandonment,274.64,274.64,2026-08-11 07:00:00,Netbanking,abandoned,,True,False,,,,,,0,0,4,0.575,13323.38,occasional_failure,False,False,True,usually_needs_reminder,True,recovered,274.64,True,paid_after_reminder_or_link,train
CASE00062,TXN000062,CUST00020,checkout_abandoned,checkout_abandonment,7909.77,7909.77,2026-07-21 07:00:00,UPI,abandoned,,True,False,,,,,,0,0,20,0.551,41564.41,reliable,False,False,True,usually_recovers_via_retry,False,not_recovered,0.0,True,no_recovery_within_window,test
CASE00063,TXN000063,CUST00082,payment_failed,failed_payment,9776.72,9776.72,2026-06-09 15:00:00,Netbanking,failed,insufficient funds,True,True,,,,,,2,2,6,0.833,7669.16,occasional_failure,False,False,True,usually_needs_reminder,True,recovered,9776.72,True,retry_succeeded,train
CASE00064,TXN000064,CUST00002,payment_success,successful,2429.0,0.0,2026-07-07 19:00:00,Netbanking,success,,True,True,,,,,,0,0,5,0.69,7848.41,occasional_failure,False,False,True,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,train
CASE00065,TXN000065,CUST00226,payment_failed,failed_payment,733.42,733.42,2026-06-09 07:00:00,Netbanking,failed,insufficient funds,True,True,,,,,,2,3,9,0.39,3208.21,frequent_failure,False,False,True,rarely_recovers,True,recovered,733.42,True,retry_succeeded,train
CASE00066,TXN000066,CUST00237,invoice_overdue,overdue_receivable,5719.72,5719.72,2026-08-20 00:00:00,UPI,overdue,,,,,,overdue,2026-07-24,27.0,0,0,3,0.887,6085.81,occasional_failure,False,False,True,usually_needs_reminder,True,recovered,4360.56,True,paid_after_reminder_or_link,train
CASE00067,TXN000067,CUST00301,subscription_renewal_failed,failed_subscription,463.2,463.2,2026-07-29 10:00:00,UPI,failed_recurring,insufficient funds,,,failed,failed,,,,1,2,21,0.924,56181.23,reliable,False,False,True,usually_recovers_via_retry,True,recovered,463.2,True,retry_succeeded,validation
CASE00068,TXN000068,CUST00170,invoice_overdue,overdue_receivable,10664.37,10664.37,2026-08-20 00:00:00,UPI,overdue,,,,,,overdue,2026-08-18,2.0,0,1,8,0.23,2772.64,frequent_failure,False,False,True,rarely_recovers,True,recovered,9243.98,True,paid_after_reminder_or_link,train
CASE00069,TXN000069,CUST00001,subscription_renewal_failed,failed_subscription,722.76,722.76,2026-08-18 13:00:00,UPI,failed_recurring,bank decline,,,failed,failed,,,,1,1,20,0.96,50283.64,reliable,False,False,True,usually_recovers_via_retry,True,recovered,722.76,True,retry_succeeded,validation
CASE00070,TXN000070,CUST00309,payment_success,successful,2866.37,0.0,2026-07-18 23:00:00,Wallet,success,,True,True,,,,,,0,0,6,0.736,10329.89,occasional_failure,False,False,True,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,train
CASE00071,TXN000071,CUST00022,payment_success,successful,7799.35,0.0,2026-07-27 00:00:00,UPI,success,,True,True,,,,,,0,0,6,0.767,3806.0,occasional_failure,False,True,False,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,train
CASE00072,TXN000072,CUST00390,payment_failed,failed_payment,3251.33,3251.33,2026-07-23 08:00:00,UPI,failed,network failure,True,True,,,,,,0,0,31,0.836,243164.9,reliable,False,False,True,usually_recovers_via_retry,True,recovered,3251.33,True,retry_succeeded,train
CASE00073,TXN000073,CUST00009,payment_success,successful,888.24,0.0,2026-08-16 12:00:00,UPI,success,,True,True,,,,,,0,0,0,0.162,2597.67,new,False,False,True,new_customer,False,not_applicable,0.0,False,not_applicable,train
CASE00074,TXN000074,CUST00238,checkout_abandoned,checkout_abandonment,389.82,389.82,2026-08-06 02:00:00,Wallet,abandoned,,True,False,,,,,,0,0,15,0.949,56876.74,reliable,False,False,True,usually_recovers_via_retry,True,recovered,389.82,True,paid_after_reminder_or_link,train
CASE00075,TXN000075,CUST00403,payment_success,successful,860.13,0.0,2026-08-15 11:00:00,Netbanking,success,,True,True,,,,,,0,0,18,0.916,40843.38,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00076,TXN000076,CUST00256,checkout_abandoned,checkout_abandonment,12448.69,12448.69,2026-07-18 19:00:00,UPI,abandoned,,True,False,,,,,,0,1,14,0.769,29928.72,reliable,False,False,True,usually_recovers_via_retry,False,not_recovered,0.0,True,no_recovery_within_window,test
CASE00077,TXN000077,CUST00277,payment_success,successful,420.12,0.0,2026-06-18 21:00:00,UPI,success,,True,True,,,,,,0,0,4,0.872,12286.2,occasional_failure,False,False,True,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,test
CASE00078,TXN000078,CUST00314,subscription_renewal_failed,failed_subscription,355.45,355.45,2026-07-03 02:00:00,UPI,failed_recurring,UPI timeout,,,failed,failed,,,,0,1,11,0.953,11515.43,occasional_failure,False,False,True,usually_needs_reminder,True,recovered,355.45,True,retry_succeeded,train
CASE00079,TXN000079,CUST00054,payment_success,successful,1634.78,0.0,2026-07-24 08:00:00,Card,success,,True,True,,,,,,0,0,17,0.841,22975.6,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00080,TXN000080,CUST00309,payment_failed,failed_payment,535.49,535.49,2026-07-30 10:00:00,Card,failed,insufficient funds,True,True,,,,,,0,4,6,0.736,10329.89,occasional_failure,False,False,True,usually_needs_reminder,True,recovered,535.49,True,retry_succeeded,train
CASE00081,TXN000081,CUST00396,checkout_abandoned,checkout_abandonment,8116.52,8116.52,2026-06-14 18:00:00,UPI,abandoned,,True,False,,,,,,0,0,3,0.835,7370.34,occasional_failure,False,False,True,usually_needs_reminder,True,recovered,8116.52,True,paid_after_reminder_or_link,train
CASE00082,TXN000082,CUST00440,invoice_overdue,overdue_receivable,12410.72,12410.72,2026-08-20 00:00:00,Netbanking,overdue,,,,,,overdue,2026-08-09,11.0,0,1,20,0.872,47680.29,reliable,False,False,True,usually_recovers_via_retry,True,recovered,10752.01,True,paid_after_reminder_or_link,train
CASE00083,TXN000083,CUST00198,subscription_renewal_failed,failed_subscription,532.09,532.09,2026-07-14 22:00:00,EMI,failed_recurring,bank decline,,,failed,failed,,,,0,0,26,0.854,164877.43,reliable,False,False,True,usually_recovers_via_retry,True,recovered,532.09,True,retry_succeeded,train
CASE00084,TXN000084,CUST00154,payment_success,successful,2315.68,0.0,2026-06-06 07:00:00,UPI,success,,True,True,,,,,,0,0,31,0.919,45601.57,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00085,TXN000085,CUST00345,payment_success,successful,6904.17,0.0,2026-07-01 22:00:00,Netbanking,success,,True,True,,,,,,0,0,16,0.989,21087.69,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00086,TXN000086,CUST00244,payment_success,successful,1364.02,0.0,2026-07-12 12:00:00,Card,success,,True,True,,,,,,0,0,5,0.924,12478.87,occasional_failure,False,False,True,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,test
CASE00087,TXN000087,CUST00114,payment_success,successful,1910.28,0.0,2026-07-23 15:00:00,EMI,success,,True,True,,,,,,0,0,15,0.89,26462.78,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00088,TXN000088,CUST00074,checkout_abandoned,checkout_abandonment,1769.87,1769.87,2026-06-28 05:00:00,UPI,abandoned,,True,False,,,,,,0,0,0,0.364,502.67,new,False,False,True,new_customer,True,recovered,1769.87,True,paid_after_reminder_or_link,train
CASE00089,TXN000089,CUST00073,payment_success,successful,4987.8,0.0,2026-08-01 03:00:00,Card,success,,True,True,,,,,,0,0,26,0.849,194693.54,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00090,TXN000090,CUST00207,checkout_abandoned,checkout_abandonment,4249.64,4249.64,2026-07-17 08:00:00,Card,abandoned,,True,False,,,,,,0,1,0,0.736,1571.48,new,False,False,True,new_customer,True,recovered,4249.64,True,paid_after_reminder_or_link,validation
CASE00091,TXN000091,CUST00073,invoice_overdue,overdue_receivable,41639.14,41639.14,2026-08-20 00:00:00,Card,overdue,,,,,,overdue,2026-08-06,14.0,0,0,26,0.849,194693.54,reliable,False,False,True,usually_recovers_via_retry,True,recovered,37609.88,True,paid_after_reminder_or_link,train
CASE00092,TXN000092,CUST00008,checkout_abandoned,checkout_abandonment,2408.16,2408.16,2026-06-23 00:00:00,Netbanking,abandoned,,True,False,,,,,,0,1,21,0.938,15482.74,reliable,False,False,True,usually_recovers_via_retry,True,recovered,2408.16,True,paid_after_reminder_or_link,train
CASE00093,TXN000093,CUST00021,payment_success,successful,289.28,0.0,2026-08-18 23:00:00,Card,success,,True,True,,,,,,0,0,23,0.981,59943.45,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,validation
CASE00094,TXN000094,CUST00420,payment_success,successful,652.82,0.0,2026-06-14 09:00:00,Wallet,success,,True,True,,,,,,0,0,9,0.216,6342.52,frequent_failure,False,False,True,rarely_recovers,False,not_applicable,0.0,False,not_applicable,train
CASE00095,TXN000095,CUST00031,invoice_overdue,overdue_receivable,6728.61,6728.61,2026-08-20 00:00:00,Card,overdue,,,,,,overdue,2026-08-11,9.0,0,0,25,0.985,25873.75,reliable,False,False,True,usually_recovers_via_retry,True,recovered,5638.17,True,paid_after_reminder_or_link,train
CASE00096,TXN000096,CUST00031,payment_failed,failed_payment,4778.28,4778.28,2026-07-13 17:00:00,Wallet,failed,insufficient funds,True,True,,,,,,1,2,25,0.985,25873.75,reliable,False,False,True,usually_recovers_via_retry,True,recovered,4778.28,True,retry_succeeded,train
CASE00097,TXN000097,CUST00201,checkout_abandoned,checkout_abandonment,14316.67,14316.67,2026-08-13 20:00:00,Netbanking,abandoned,,True,False,,,,,,0,1,19,0.886,15711.15,reliable,False,False,True,usually_recovers_via_retry,True,recovered,14316.67,True,paid_after_reminder_or_link,train
CASE00098,TXN000098,CUST00107,payment_success,successful,3555.91,0.0,2026-06-23 08:00:00,Card,success,,True,True,,,,,,0,0,11,0.67,9818.01,occasional_failure,False,False,True,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,train
CASE00099,TXN000099,CUST00434,payment_success,successful,6353.74,0.0,2026-06-23 00:00:00,Card,success,,True,True,,,,,,0,0,21,0.869,118487.22,reliable,False,True,False,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00100,TXN000100,CUST00410,checkout_abandoned,checkout_abandonment,1046.2,1046.2,2026-07-06 10:00:00,Card,abandoned,,True,False,,,,,,0,1,6,0.688,4089.36,frequent_failure,False,False,True,rarely_recovers,True,recovered,1046.2,True,paid_after_reminder_or_link,train
CASE00101,TXN000101,CUST00180,payment_success,successful,2343.52,0.0,2026-07-19 11:00:00,Wallet,success,,True,True,,,,,,0,0,23,0.935,37529.74,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,validation
